a_phys,a,a_copy,b_phys,b,b_copy,pair_key,depth_um,cases
ow_e1D_phys,e1D,10,ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,Arcade_Cell_Ant||e1D,0.187028,1
ow_pm7D_phys,pm7D,24,ow_pm8_phys,pm8,21,pm7D||pm8,0.186309,39
ow_vm2R_Post_phys,vm2R_Post,135,ow_uv2_Post_phys,uv2_Post,137,uv2_Post||vm2R_Post,0.185776,5
ow_Sp_bag_P_2D_phys,Sp_bag_P_2D,60,ow_Sp_bag_P_1D_phys,Sp_bag_P_1D,57,Sp_bag_P_1D||Sp_bag_P_2D,0.185288,5
ow_pm8_phys,pm8,21,ow_pm7D_phys,pm7D,24,pm7D||pm8,0.184841,29
ow_pm3D_phys,pm3D,41,ow_pm1_phys,pm1,12,pm1||pm3D,0.18471600000000002,9
ow_e3D_phys,e3D,9,ow_pm3D_phys,pm3D,41,e3D||pm3D,0.184054,11
ow_pm5VL_phys,pm5VL,29,ow_pm6VL_phys,pm6VL,25,pm5VL||pm6VL,0.183714,2
ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,ow_e3D_phys,e3D,9,Arcade_Cell_Ant||e3D,0.183531,14
ow_pm5D_phys,pm5D,30,ow_mc2DL_phys,mc2DL,31,mc2DL||pm5D,0.180992,1
ow_Arcade_Cell_Post_phys,Arcade_Cell_Post,4,ow_mc1DL_phys,mc1DL,42,Arcade_Cell_Post||mc1DL,0.180696,4
ow_pm2D_phys,pm2D,15,ow_pm1_phys,pm1,12,pm1||pm2D,0.180268,33
ow_mc2V_phys,mc2V,17,ow_mc3V_phys,mc3V,22,mc2V||mc3V,0.179751,2
ow_pm1_phys,pm1,12,ow_Arcade_Cell_Post_phys,Arcade_Cell_Post,4,Arcade_Cell_Post||pm1,0.178603,1
ow_mc1DL_phys,mc1DL,42,ow_pm3VL_phys,pm3VL,40,mc1DL||pm3VL,0.17782599999999998,2
ow_pm6VL_phys,pm6VL,25,ow_pm5VL_phys,pm5VL,29,pm5VL||pm6VL,0.17738900000000002,1
ow_um1R_Ant_phys,um1R_Ant,123,ow_vulB1_phys,vulB1,126,um1R_Ant||vulB1,0.176042,1
ow_int4V_phys,int4V,180,ow_ut4_Ant_phys,ut4_Ant,150,int4V||ut4_Ant,0.173683,2
ow_pm1_phys,pm1,12,ow_e3VR_phys,e3VR,6,e3VR||pm1,0.172204,2
ow_e3D_phys,e3D,9,ow_pm2D_phys,pm2D,15,e3D||pm2D,0.171617,7
ow_e1VR_phys,e1VR,5,ow_e2DR_phys,e2DR,7,e1VR||e2DR,0.171466,5
ow_ut2_Ant_phys,ut2_Ant,121,ow_um2L_Ant_phys,um2L_Ant,120,um2L_Ant||ut2_Ant,0.170434,2
ow_e3D_phys,e3D,9,ow_pm1_phys,pm1,12,e3D||pm1,0.169983,1
ow_e1D_phys,e1D,10,ow_pm3D_phys,pm3D,41,e1D||pm3D,0.16959800000000003,2
ow_e2DR_phys,e2DR,7,ow_pm2D_phys,pm2D,15,e2DR||pm2D,0.16911099999999998,4
ow_Gonadal_Sheath_A1R_phys,Gonadal_Sheath_A1R,112,ow_Gonadal_Sheath_A2R_phys,Gonadal_Sheath_A2R,111,Gonadal_Sheath_A1R||Gonadal_Sheath_A2R,0.168595,1
ow_vpi3_D_phys,vpi3_D,189,ow_vpi3_V_phys,vpi3_V,188,vpi3_D||vpi3_V,0.168137,1
ow_vpi1_phys,vpi1,193,ow_vpi2_V_phys,vpi2_V,191,vpi1||vpi2_V,0.166354,6
ow_vpi2_V_phys,vpi2_V,191,ow_vpi1_phys,vpi1,193,vpi1||vpi2_V,0.162257,5
ow_uv3_Post_phys,uv3_Post,139,ow_utse_phys,utse,148,utse||uv3_Post,0.16016999999999998,18
ow_uv1_Ant_phys,uv1_Ant,142,ow_utse_phys,utse,148,utse||uv1_Ant,0.158452,12
ow_Sp_neck_P_4R_phys,Sp_neck_P_4R,53,ow_Sp_neck_P_3R_phys,Sp_neck_P_3R,49,Sp_neck_P_3R||Sp_neck_P_4R,0.15799000000000002,1
ow_mc3DL_phys,mc3DL,27,ow_pm8_phys,pm8,21,mc3DL||pm8,0.157788,28
ow_mc3DR_phys,mc3DR,16,ow_pm8_phys,pm8,21,mc3DR||pm8,0.156153,33
ow_pm7VR_phys,pm7VR,44,ow_Phar_Gland_Dorsal_g2_phys,Phar_Gland_Dorsal_g2,2,Phar_Gland_Dorsal_g2||pm7VR,0.15604400000000002,1
ow_vulD_phys,vulD,132,ow_vm1R_Ant_phys,vm1R_Ant,129,vm1R_Ant||vulD,0.155816,2
ow_mc3DR_phys,mc3DR,16,ow_pm7D_phys,pm7D,24,mc3DR||pm7D,0.155632,4
ow_mc2DR_phys,mc2DR,18,ow_mc1DR_phys,mc1DR,20,mc1DR||mc2DR,0.153272,2
ow_Gonadal_Sheath_P3R_phys,Gonadal_Sheath_P3R,106,ow_Oocyte_Post_7_phys,Oocyte_Post_7,155,Gonadal_Sheath_P3R||Oocyte_Post_7,0.15143399999999999,3
ow_vulF_phys,vulF,134,ow_uv2_Ant_phys,uv2_Ant,141,uv2_Ant||vulF,0.14810900000000002,5
ow_vpi3_D_phys,vpi3_D,189,ow_vpi2_DR_phys,vpi2_DR,192,vpi2_DR||vpi3_D,0.146558,11
ow_int1DL_phys,int1DL,173,ow_vpi1_phys,vpi1,193,int1DL||vpi1,0.14527400000000001,2
ow_vm1L_Ant_phys,vm1L_Ant,113,ow_um1L_Ant_phys,um1L_Ant,117,um1L_Ant||vm1L_Ant,0.144374,7
ow_Gonadal_Sheath_A4V_phys,Gonadal_Sheath_A4V,109,ow_Gonadal_Sheath_A4D_phys,Gonadal_Sheath_A4D,94,Gonadal_Sheath_A4D||Gonadal_Sheath_A4V,0.143038,2
ow_uv1_Post_phys,uv1_Post,138,ow_vulF_phys,vulF,134,uv1_Post||vulF,0.140822,11
ow_mc1DL_phys,mc1DL,42,ow_pm2D_phys,pm2D,15,mc1DL||pm2D,0.14047800000000002,1
ow_vulE_phys,vulE,133,ow_utse_phys,utse,148,utse||vulE,0.139476,4
ow_pm3D_phys,pm3D,41,ow_mc1DL_phys,mc1DL,42,mc1DL||pm3D,0.138507,6
ow_e1D_phys,e1D,10,ow_pm2D_phys,pm2D,15,e1D||pm2D,0.137182,5
ow_pm7D_phys,pm7D,24,ow_mc3DR_phys,mc3DR,16,mc3DR||pm7D,0.13436099999999998,1
ow_Sp_neck_P_3L_phys,Sp_neck_P_3L,51,ow_Sp_neck_P_2L_phys,Sp_neck_P_2L,48,Sp_neck_P_2L||Sp_neck_P_3L,0.131056,2
ow_mc2DL_phys,mc2DL,31,ow_pm5VL_phys,pm5VL,29,mc2DL||pm5VL,0.130525,1
ow_mc2DR_phys,mc2DR,18,ow_pm5D_phys,pm5D,30,mc2DR||pm5D,0.13012700000000002,1
ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,ow_e3VL_phys,e3VL,35,Arcade_Cell_Ant||e3VL,0.129842,1
ow_uv3_Post_phys,uv3_Post,139,ow_ut1_Post_phys,ut1_Post,145,ut1_Post||uv3_Post,0.129388,15
ow_pm8_phys,pm8,21,ow_mc3DL_phys,mc3DL,27,mc3DL||pm8,0.128878,6
ow_Gonadal_Sheath_P1L_phys,Gonadal_Sheath_P1L,99,ow_Gonadal_Sheath_P5D_phys,Gonadal_Sheath_P5D,95,Gonadal_Sheath_P1L||Gonadal_Sheath_P5D,0.12813999999999998,1
ow_pm3D_phys,pm3D,41,ow_Arcade_Cell_Post_phys,Arcade_Cell_Post,4,Arcade_Cell_Post||pm3D,0.127175,4
ow_Sp_bag_A_1V_phys,Sp_bag_A_1V,83,ow_Sp_bag_A_1L_phys,Sp_bag_A_1L,79,Sp_bag_A_1L||Sp_bag_A_1V,0.12623399999999999,2
ow_vulD_phys,vulD,132,ow_vulC_phys,vulC,128,vulC||vulD,0.12468000000000001,14
ow_um2R_Ant_phys,um2R_Ant,122,ow_utse_phys,utse,148,um2R_Ant||utse,0.12310299999999999,1
ow_Sp_bag_A_3L_phys,Sp_bag_A_3L,72,ow_Sp_bag_A_4L_phys,Sp_bag_A_4L,92,Sp_bag_A_3L||Sp_bag_A_4L,0.122906,1
ow_e3VR_phys,e3VR,6,ow_e2DR_phys,e2DR,7,e2DR||e3VR,0.121261,3
ow_utse_phys,utse,148,ow_uv2_Ant_phys,uv2_Ant,141,utse||uv2_Ant,0.121197,2
ow_pm3VR_phys,pm3VR,43,ow_pm2VR_phys,pm2VR,13,pm2VR||pm3VR,0.120049,1
ow_vulC_phys,vulC,128,ow_vulD_phys,vulD,132,vulC||vulD,0.119874,9
ow_pm5D_phys,pm5D,30,ow_mc2DR_phys,mc2DR,18,mc2DR||pm5D,0.118233,1
ow_e3D_phys,e3D,9,ow_e2DL_phys,e2DL,8,e2DL||e3D,0.117161,1
ow_utse_phys,utse,148,ow_vm2R_Ant_phys,vm2R_Ant,114,utse||vm2R_Ant,0.11660899999999999,1
ow_pm8_phys,pm8,21,ow_mc3DR_phys,mc3DR,16,mc3DR||pm8,0.11598699999999999,2
ow_e2V_phys,e2V,11,ow_e3VL_phys,e3VL,35,e2V||e3VL,0.112775,2
ow_vm2R_Ant_phys,vm2R_Ant,114,ow_uv3_Ant_phys,uv3_Ant,140,uv3_Ant||vm2R_Ant,0.112378,12
ow_um2L_Ant_phys,um2L_Ant,120,ow_ut1_Ant_phys,ut1_Ant,146,um2L_Ant||ut1_Ant,0.112055,1
ow_vulF_phys,vulF,134,ow_vulE_phys,vulE,133,vulE||vulF,0.111233,1
ow_pm2VR_phys,pm2VR,13,ow_pm1_phys,pm1,12,pm1||pm2VR,0.11045999999999999,3
ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,ow_mc1V_phys,mc1V,19,Arcade_Cell_Ant||mc1V,0.109756,1
ow_e3VL_phys,e3VL,35,ow_e2V_phys,e2V,11,e2V||e3VL,0.109217,1
ow_Gonadal_Sheath_P5D_phys,Gonadal_Sheath_P5D,95,ow_Gonadal_Sheath_P5V_phys,Gonadal_Sheath_P5V,153,Gonadal_Sheath_P5D||Gonadal_Sheath_P5V,0.108842,1
ow_uv1_Ant_phys,uv1_Ant,142,ow_vulF_phys,vulF,134,uv1_Ant||vulF,0.10882,4
ow_vm1R_Ant_phys,vm1R_Ant,129,ow_vulC_phys,vulC,128,vm1R_Ant||vulC,0.10836499999999999,2
ow_rect_D_phys,rect_D,201,ow_rect_VL_phys,rect_VL,202,rect_D||rect_VL,0.108319,1
ow_Gonadal_Sheath_P4D_phys,Gonadal_Sheath_P4D,96,ow_Gonadal_Sheath_P1R_phys,Gonadal_Sheath_P1R,108,Gonadal_Sheath_P1R||Gonadal_Sheath_P4D,0.10769,2
ow_vpi3_D_phys,vpi3_D,189,ow_vpi2_DL_phys,vpi2_DL,190,vpi2_DL||vpi3_D,0.106485,1
ow_pm1_phys,pm1,12,ow_e2V_phys,e2V,11,e2V||pm1,0.105072,1
ow_Rachis_P_phys,Rachis_P,103,ow_Gonadal_Sheath_P1R_phys,Gonadal_Sheath_P1R,108,Gonadal_Sheath_P1R||Rachis_P,0.10499299999999999,1
ow_pm4VR_phys,pm4VR,39,ow_pm5VR_phys,pm5VR,32,pm4VR||pm5VR,0.102441,1
ow_pm6VL_phys,pm6VL,25,ow_mc2DL_phys,mc2DL,31,mc2DL||pm6VL,0.102265,1
ow_uv3_Post_phys,uv3_Post,139,ow_vm2R_Post_phys,vm2R_Post,135,uv3_Post||vm2R_Post,0.102089,1
ow_um1L_Post_phys,um1L_Post,116,ow_vulE_phys,vulE,133,um1L_Post||vulE,0.10184900000000001,1
ow_Sp_bag_A_2R_phys,Sp_bag_A_2R,76,ow_int3V_phys,int3V,181,Sp_bag_A_2R||int3V,0.101794,1
ow_vm2L_Ant_phys,vm2L_Ant,136,ow_um1L_Ant_phys,um1L_Ant,117,um1L_Ant||vm2L_Ant,0.10049,1
